map13  	  map27  	  56  	  76  	  66.6666666666667      	  43.75            	  59.375           	  52.0833333333333    
map13  	  map28  	  44  	  52  	  47.0                  	  34.375           	  40.625           	  36.71875            
map13  	  map29  	  127  	  128  	  127.666666666667      	  99.21875         	  100.0            	  99.7395833333333    
map13  	  map30  	  128  	  128  	  128.0                 	  100.0            	  100.0            	  100.0               
map13  	  map31  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map13  	  map34  	  130  	  132  	  130.666666666667      	  100.0            	  100.0            	  100.0               
map13  	  map37  	  55  	  84  	  71.0                  	  42.96875         	  65.625           	  55.46875            
map13  	  map38  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map1  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map2  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map3  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map4  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map5  	  105  	  115  	  111.333333333333      	  82.03125         	  89.84375         	  86.9791666666667    
map14  	  map7  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map12  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map13  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map15  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map16  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map18  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map19  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map22  	  27  	  45  	  39.0                  	  21.09375         	  35.15625         	  30.46875            
map14  	  map25  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map27  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map28  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map29  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map30  	  24  	  27  	  25.3333333333333      	  18.75            	  21.09375         	  19.7916666666667    
map14  	  map31  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map14  	  map34  	  6  	  22  	  15.0                  	  4.6875           	  17.1875          	  11.71875            
map14  	  map37  	  57  	  61  	  59.0                  	  44.53125         	  47.65625         	  46.09375            
map14  	  map38  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map15  	  map1  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map15  	  map2  	  0  	  3  	  1.66666666666667      	  0.0              	  2.34375          	  1.30208333333333    
map15  	  map3  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map15  	  map4  	  4  	  9  	  6.33333333333333      	  3.125            	  7.03125          	  4.94791666666667    
map15  	  map5  	  118  	  121  	  120.0                 	  92.1875          	  92.96875         	  92.7083333333333    
map15  	  map7  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map15  	  map12  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map15  	  map13  	  121  	  122  	  121.333333333333      	  94.53125         	  95.3125          	  94.7916666666667    
map15  	  map14  	  131  	  133  	  132.0                 	  97.65625         	  100.0            	  99.21875            
